#options: 1280x720 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0:0 me=dia subme=0 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=0 intra_refresh=0 rc=abr mbtree=0 bitrate=659 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=0
in:0 out:0 type:I dur:2 cpbdur:2 q:39.53 aq:40.00 tex:89346 mv:25302 misc:5304 imb:3600 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:38.44 aq:38.00 tex:1571 mv:418 misc:859 imb:15 pmb:70 smb:3515 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:34.44 aq:34.00 tex:80443 mv:12508 misc:3353 imb:913 pmb:960 smb:1727 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:36.25 aq:36.00 tex:71119 mv:15827 misc:3246 imb:1001 pmb:699 smb:1900 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:37.47 aq:37.00 tex:91425 mv:16837 misc:3162 imb:1221 pmb:665 smb:1714 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:37.93 aq:38.00 tex:68667 mv:13337 misc:2884 imb:805 pmb:703 smb:2092 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:38.67 aq:39.00 tex:95342 mv:17072 misc:3098 imb:1116 pmb:716 smb:1768 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:38.87 aq:39.00 tex:89234 mv:15632 misc:3238 imb:1023 pmb:798 smb:1779 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:38.62 aq:39.00 tex:66783 mv:12626 misc:3063 imb:677 pmb:854 smb:2069 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:37.87 aq:38.00 tex:49653 mv:11039 misc:3060 imb:573 pmb:747 smb:2280 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:37.16 aq:37.00 tex:61785 mv:13661 misc:3250 imb:754 pmb:893 smb:1953 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:36.53 aq:37.00 tex:40046 mv:10860 misc:2806 imb:535 pmb:668 smb:2397 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:36.17 aq:36.00 tex:48822 mv:12339 misc:3199 imb:683 pmb:781 smb:2136 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:36.05 aq:36.00 tex:46801 mv:13379 misc:3044 imb:847 pmb:619 smb:2134 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:35.79 aq:36.00 tex:40476 mv:13048 misc:2900 imb:907 pmb:606 smb:2087 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:35.30 aq:35.00 tex:51912 mv:10935 misc:3009 imb:659 pmb:779 smb:2162 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:34.49 aq:34.00 tex:51279 mv:9054 misc:2835 imb:425 pmb:818 smb:2357 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:33.97 aq:34.00 tex:25543 mv:6320 misc:2113 imb:342 pmb:328 smb:2930 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:37.97 aq:38.00 tex:17302 mv:5535 misc:1963 imb:209 pmb:377 smb:3014 d:- ref:0 ;
